train_reviews,train_ratings
San Diego,4
Perfect location to visit Tombstone,5
"Very affordable, met needs",4
Fabulous,4
Not quite what I expected,3
Pleasant and Relaxing Stay,5
Great Value,5
My 50th Birthday,3
This hotel is terrible!,1
First Time visit- very nice hotel,5
Not what I'd expect from Marriott,2
Staff made my trip,5
Great Hotel !,4
Best service ever! Perfect!,5
Clean and close to airport,5
Comfortable and Convenient,4
"on the way Wichita, KS",5
Absolutely no complaints about this hotel!,5
The perfect location--big bang for your buck!,5
It was clean.....,3
Fab location!,4
Excellent genuine customer service - 01/15/16,4
Amazing Hotel in San Antonio,5
Comfy Stay,4
"Slightly scary, poorly maintained but v.cheap",2
"Nice, clean, cool",5
Great boutique hotel in the heart of SF,5
Friendly staff....,4
"Comfortable, convenient place",4
Clean and friendly staff,5
Better than expected,5
Pleasant Stay,4
Booked room No room,1
Great Stay,5
Very Helpful Staff,5
"No nonsense, good quality and excellent service!",4
Almost good!,3
"Not typical of the ritz, but a nice old fashion feel",4
Not quite up to Marriott standards in my book,3
G daughters birthday weekend.,1
Conference/leisure,4
Great place to stay,5
Anniversary Weekend,5
nice valuable hotel,4
Relaxing,5
Gorgeous oasis with helpful friendly staff,5
Good for the money!,3
Good intentions...execution so-so,3
Golfer's Paradise,5
"Nice, Clean, and Great Price",5
Fine for its purpose,3
"Clean hotel, friendly staff",5
Enjoy the life,5
Great place,5
Beautiful,5
New Orleans Hospitality at its Finest!,5
Marywood Reunion,5
Comfortable and clean,4
Excellent Location Great Beds,4
On our way home!,5
Very pleasant hotel,5
Awesome stay,4
We had a good stay,4
Love it!,5
Nice stop over,4
outstanding oasis,4
Very nice,5
"Location, location, location",5
A Hidden Gem in La Jolla,5
Fantastic stay,5
Read this first,2
"It was so bad, I slept in my car. (I wish I was joking.)",1
The Good Bad Ugly,4
Great Location Great People!,4
Best western,5
Quality,4
"Great Place, Terrific Service",5
"Great stay at Hampton in Selma, NC",5
Nice Stay,4
"Nice hotel, good location",4
Nice place,4
"Full of charm, fantastic location, but rooms are small and dark",3
Nauvoo Trip,5
Good Choice,4
Anniversary Stay,4
I LOVE THIS HOTEL AND IT'S ALL BECAUSE THE STAFF IS GREAT !!!,5
Number one hotel,5
Great hotel fantastic customer service,5
Loved our stay!!!,5
"Stay at Hampton inn in Kearney, NE",5
Eccentric Bar - Hidden Gem,5
Older Hotel with a wonderful staff,4
Needed A Breather,4
Close Comfort,4
Relaxing and Fun-filled!,5
Will stay again,5
Absolutly stunning,5
Above and beyond call of duty!,5
Family Vacation,5
What a pleasant surprise,4
Conrad Hilton is a Fabulous hotel,5
great lunch spot,4
Perfect Getaway!,5
Great location for San Diego activities,4
nice surprise - short trip from Dallas Love,4
Wonderful stay,5
Best place to stay,5
"Exceeded expectations, a pleasant surprise!",5
Standard Marriott Property,4
"Construction, fake free breakfast, zero service",1
Work in progress,3
Last Minute Trip,5
Wedding Trip,5
Great hotel!,5
Nice older retro motel,3
Spacious and very comfortable,5
"Great Hotel Satff Service Location, Highly Recommend!",5
Fresno Inn - Clean Hospital,5
Conveniently located,4
A great economy hotel with mid-range facilities,5
WEDDING RECEPTION,3
Could not unlock room door. Had to ask housekeeping.,3
My new Favorite Place-Hotel Emma,5
best courtyard by marriott ever!,5
Centrally Located Hotel,4
Labor Day Fun,4
Great economical hotel close to disney,5
Computers,3
Love the stay!,5
Great Experience,5
Good place to stay near the airport,5
Not a typical wingate,2
Perfect location,5
"Nice room, but dirty bathroom and filthy pool and hot tub area",2
"Excellent evening view, fast access to the coast",5
Would never stay here again,1
Pleasant Surprise,4
We Love Drury Inn at New Orleans....,5
"Over Priced, Rooms Out of Date, and Noisy",2
"Perfect location, lovely hotel and fantastic staff",5
Looks like new,4
Short Business Trip,3
Comfortable stay prior to flying from Orlando,5
Great place,5
Charm and Friendliness Make Up for the Age of the Building and the Parking,4
Great value and clean hotel,5
Great Experience,5
Room fantastic and there was a star sighting,5
Watch your bank statement,1
Good value,3
Stay for the day,5
GREAT LOCATION and GREAT STAFF,5
Additional cost,5
"Wonderful stay, very close to Miramar, which is a good thing!",4
Clean and friendly,5
Great,5
Wonderful Stay,5
Excellent hotel with great location,5
Great Stay,5
Business Hotel,5
horseshoe exec meeting,5
serves it's purpose,3
Good value for money,4
"Lacking in amenities, insect room-mates.",1
Traveling with Dogs...awesome hotel,5
Santa's Not Watching Over His Lodge,2
Nice staff,5
Very nice but tiny rooms,4
good place to stay,3
Nice hotel in a good spot,4
Charming place/avoid annex,3
Previously stayed here,4
Neighborhoods are the real deal in SAn Francisco,4
Winning again!,4
Beautiful room,5
Staff is so nice...,5
Wonderful 2 day stay,5
Family visit,4
Good Place to Stay Overnight.,5
Another wonderful stay at the Vagabond oasis!,5
Consistently great!,5
Great bargain,5
old school!,4
Birthday,5
An awesome hotel in a great location,5
Under renovation,3
Great for conference or event.,4
Marriott Residence Inn- Peachtree,4
"Good size accommodation, looking a bit tired!",3
Eurostyle,5
Great place and reasonable,5
"Great value, basic but very clean and comfortable",4
None interested staff,3
"Lovely hotel, fantastic location......slightly lacking....",4
Getting A Bit Long In The Tooth.,3
Excellent place to stay!,5
Not bad considering the graveyard shift construction noise,3
"Great location, but that was it.",2
Looking Forward To Staying Here Again!,5
November trip,3
Excellent Choice,5
Very Accommodating Pet Friendly Stay,5
Beautiful place,5
Not Bad Would stay there again if in the area,4
Let's go back!!,5
Clean and Pleasant stay,5
Good choice in NOLA,4
Pretty average,3
where was paradise,2
Very Good Hotel,5
Cost Effective and Near Disneyland,4
Home away from home!,5
Wonderful resort,5
Good location,5
very clean kind staff,5
Oceanfront Oasis,5
A gem in San Francisco,5
I'm Platinum and I'm saying NEVER,1
Small rooms and pool,4
Average hotel,3
First Class Accomodations,5
Good value for money,4
"Perfection Location, Fabulous Staff, Beautiful Hotel",5
This is the one to stay at,5
Overall pleasant,4
Comfortable Stay,4
Job done Well Marriott,4
Quality at a fair price,5
Beautiful location and room,5
Excellant,5
"Great Location, Breakfast is Great too",4
Nice overnight stay,4
Awesome!,5
Excellent Hotel!,5
Fabulous,5
Best place in the world,5
"Comfortable, clean hotel",5
Great remodel,5
Amazing Stay,5
Different,4
It Was Okay,3
Amazing Family-Friendly Resort,5
A mix of good and bad,3
My Stay,3
Open windows and guest safety...........,3
Great base for our florida holiday!,4
Wonderful!,5
Somewhere between Hilton and Ritz,4
Great location!,5
Remodel of lobby,4
"There are better, cheaper hotels on Fisherman's Wharf.",3
A little below Hilton standards....imo,3
Annual get away,5
Wonderful Stay,5
Fabulous property,5
Great hotel. Great location.,5
my trip to atlanta,5
Lovely Little Hotel,4
Perfect!,5
Raj was great.,5
Pleasant stay,5
Graduation Stay,5
Fantastic,5
Wonderful property. Marriott should be proud!,5
First trip to Seattle,4
Small Hotel - Great Location.,4
Do Not Miss Staying Here!!!!,5
Keep away from this hotel is the worst and dirtiest of orlando.,1
"Great staff, very clean rooms",5
convienient hotel near the airport,5
Hotel Abri San Fransisco,5
Just O.K.,3
Don't Book in Advance Here!!!,1
Excellent!!,5
october,5
excelent clean rooms. awseome people,5
Big room and good location,4
Excellent stay and very clean!,5
Good Times,3
Great Waikiki Choice,4
2 night stay,4
Best stay ever!!,5
Cozy Inn,5
Elegant Hotel,5
"Unique, great location and value",5
Pleasure,3
Great hotel if you attend a Phillies Game!,5
Would Stay Here Again!,4
Excellent atmosphere and stay,5
Love Estancia!!!,5
Great Stay,5
great,5
Nice hotel and good amenity...,5
good,4
Great surprise,5
"Great location, great rooms, but note (in the fine print) no room cleaning unless you request it on weekends.",3
Wardog66-70,5
"Comfortable stay, great location!",5
Love Galleria Park Hotel,5
Fine Service and Cleanliness,5
Much needed getaway at beautiful property,5
Great location. Poor customer service.,2
Perfect Location Wonderful Stay !!,5
Thankyou Earenst,5
My Experience - Superb and Appreciated!,5
I wouldn't come here again,2
Cozy Stay,5
The staff is rude,1
Bang for Your Buck,3
Great Stay,5
"Stylish Hotel in good location, little noisy though",4
Great Experience,5
Nice!!,5
STAY AT RANCHO BERNARDO GARDEN INN,5
Thumbs up for Zaza,5
Lack of electricity handled professionally,4
Maybe more like 3.5 stars...,4
Great Location,5
Love the Hotel Emma in San Antonio,5
Nice motel,5
Nice motel,4
An Amazing Place in Paradise,5
Great hotel,5
VERRY GOOD LOCATION GOOD SERVICE,4
Evaluation,4
Lots of pros. Few cons.,4
A nice Hotel with cleen rooms,4
Great location,3
A nice stop in Summrville,3
Clean,5
Home2 felt lke Home,5
"One Night Stay - January 4, 2018",3
Impressed,5
Great location great people,5
Clean and friendly,5
The hotel was super clean the room was super clean the location of the hotel was excellent location,5
Wonderful staff,4
Clean room and helpful staftt but location just a bit too far from Union Square area,3
Relaxing Pond and Garden Area,4
Cool atmosphere,4
Excellent Service for Couples with Baby,5
Just what we wanted!,5
Small town motel close to cdowntown.,4
Great location for disney or business,4
Nice hotel but Needs Some Updating,4
The best choice!,5
"Comfortable, Clean, Affordable Suite Hotel",4
Superb Service,5
Just what i needed...,4
"Quiet, Great beds, Gourmet breakfast",5
"Great location, helpful staff",5
"Great Location, Lacking service and amenities",3
A Package Deal the Family will enjoy,4
"Nice hotel, good location",4
Hotel Emma,5
Great location and spacious rooms,4
Good location and great staff,4
SpringHill Fairbanks A Solid Offering,5
"Hampton Inn Suites Jackson, TN",5
We have a few Problems but overall Great Hotel,5
Fantastic place for families!,5
Indoor Pool Anyone,4
2 thumbs up,4
Don't stay,1
Avoid this place,2
Great hotel in the theater district,4
Location Atmosphere,5
Nice,5
Best in the business!,5
Our stay,3
"Nice, But....",4
Average hotel by the airport,3
Slipping,3
OK,3
Not for business travel,1
Perfectly Fine,4
Rebel is AWESOME!!,5
Great location without breaking the bank,4
Proud to Have My Guest's Stay,5
Classy hotel,5
Problems w/ Hot Water Recovery Delivery Abbey Inn,2
"Great hotel, amazing staff",5
One Night Stay on our way to Texas,2
Must Stay for Lenox Square,5
Good value and service,4
Great location and nice ameneties,4
You get what you pay for.....,1
"Average Hotel, Nothing walking Distance, Mediocre Amenities",3
a visual feast,5
Great for pre-cruise accommodation.,4
No special requests honored here,3
Old and dated.,2
Wow! Wonderful Stay at Hotel Emma!,5
A decent place to stay only 15 minutes from UCF,4
For the price...you can't beat it,5
A definite Not!!!,1
Good spot,4
A Diamond on the beach in Destin,5
Another good stay at a Marriott Property,4
First trip to NOLA,5
"Nice visit, a bit pricey.",4
hotel stay 2/12/15,3
Lovely and convenient boutique hotel,5
Conveniently Located City Hotel,4
Could be better,3
great location,5
Great stay!!!,5
Excellent Value Location,4
Excellent stay!,5
Not Impressed,2
"Exceptional staff, okay hotel",4
Wonderful staff!,5
Two nights in Orlando,5
Tired old Hotel in the wrong side of town,2
"Great Hyatt property, a little pricey",5
wonderful experience,5
Great Stay,5
"Luxury positioning with tiny rooms, thin towels and walls, but good evening Prosecco",3
Great Time.,5
"Quaint, Rustic Cottages!",5
Close to French Qtr. great svc. good food.,5
quiet in the midst of the city,4
Hotel on the hill,4
Comfortable room good food!,5
25th Wedding Anniversary,5
"Location, Comfort, Everything You Could Need",5
Nice hotel if a little pricey,5
Scared for my life,1
The Ocean Lodge Made it Hard to Leave Cannon Beach!,5
Beautiful Hotel in the Best Location,4
clean and frindly wil go back !,5
Exceeded our expectations - by a long way,5
"Location, Location, Location",5
"Great Stay, Great Value, Great Bed",5
Really nice hotel close and convenient for the airport,5
"Great hotel, close to airport!",5
Expected more...,3
ABSOLUTELY FABULOUS,5
Good breakfast in the wilds of the Midwest.,4
Great place to stay!,4
"Nice overall, bring your own pillow",4
Great location!,5
Staff was very good,2
"great location, nice rooms, breakfast and dinner buffet",4
"If You're Looking To Pay Less Than a Hundred Dollars For A Hotel That's Worth A Lot More, Look No Further.",4
Nice botique hotel in great location,4
We almost live here,4
"Just the right space, place and time",5
Memorial Day Weekend Trip,4
A little old-fashioned gem in La Jolla,5
Excellent in every way,5
too noisey,2
Mgmt Needs Class in Hospitality,2
"Beautiful Hotel, Top Notch Customer Service",5
No problems,3
Quick overnight stay,4
"free parking, good pool hot tub free wifi",4
Awesome spot!,5
"Great Price, Great Stay",4
Nice rooms and pet friendly. WalMart across street,4
Sister's most excellent pick,5
KD,4
Best Hampton Inn we've stayed at.,5
great Hotel Experience,5
A truly exceptional experience at the Renwick Clifton House!,5
"Good Hotel, Clean, Nice",5
Great location,5
Just Right...,5
Less than perfect,2
A good experience....,4
Customer service at its best !!!,5
2nd Visit,4
Really nice hotel with great location,5
Treasure,4
Great place to stay and great location,5
Expected better,3
Ongoing Construction But Good Rate,3
"Very comfortable and well-equipped, but a little noisy",4
"Nice, clean, comfortabl, friendly staff",5
Disappointed,2
"We had a group of 15 there, very happy with the accomidations",5
Good stay,4
Dallas Cowboy VS Altanta Falcons.,4
Great,5
Great Little Place,4
2 night stay,5
Stay-Cation,4
1 rated hotel,5
Ms,5
Best western 7 seas,4
Hotel is 5 star rating for service,5
Very comfortable extended stay hotel close to downtown,4
Excellent Choice,5
Awful,1
Great value and fun atmosphere,4
Just right,4
Live review...,3
"You asked, so I'll share...",4
"Great breakfast, Near PHL Airport",5
Close to Seaworld,5
Satisfied,4
Great hotel centrally located in Waikiki,5
Orlando Florida with Family Friends.,3
National Park Trip,4
Nice stay,4
"Good location, outrageous parking fees",4
Great find!,5
My Favorite NYC Hotel Hands Down,5
Very Nice Hotel.,4
Among the Few in Miami That Don't Disappoint,5
"Nice people, Great place",5
Great Weekend Stay for Large Group,5
Lots of good- but some bad.,4
Update in progress-Breakfast Fine!,3
Can't beat the service,5
Best Southern Hospitality,5
Beautiful hotel in an awesome location!,5
Avoid the water,1
"Central, Clean and Friendly",5
Staff facilities,5
Local Motel was very pleasant surprise!,5
Excellent service near chinatown,4
Great stay in the middle of everything,5
Great location and great service,5
Excellent Stay.,5
Love the Pearl,5
The perfect location,4
"Maximilian, concierge, was phenomenal!",5
We loved this hotel,5
Great place in a great lovation,4
Nice and good breakfast,4
Island Getaway,5
Stuffy,1
Great place except for the false advertising,4
Disappointed with staff,3
A magic place for horse lovers of all abilities.,5
Dream Hotel,5
Terrific hotel,5
Solid place to stay in Carmel IN area,4
Very nice property,4
"Westin, best Inn",4
CP the manager is awesome!,4
Best stay ever,5
Nothing to complain about.,5
First time in Philly!,5
Amazing View and bath tubs!,5
Thought I was in a luxury hotel,5
Great place for a family stay,4
Great stay,5
Manager fixed issue immediately,4
Good Place to Stay In PHL,4
Excellent hotel in great location,5
Wonderful stay,5
Wonderful accommodations,5
Great Boutique Hotel!,5
A homeless shelter is better than this place,1
Outstanding,5
A nice option just a tad bit outside Gaslamp,4
Unilaterally cancelled my reservation...,1
Stayed there for a Wedding Some Sightseeing,4
Center of the Middle,5
Beautiful hotel!,5
Disappointment....,2
keep it a secret,5
Didn't even stay,3
Perfect blend of remote mountain scenery and world class accommodations.,5
"Central Location, Excellent Service, Comfortable Room",5
fit my needs well,5
"beautiful views, and wonderful rooms",4
Great location. Poor customer service.,2
Awesome place,5
Tiny Room in NYC,3
Dirty underwear and a suspicious stain,1
Wedding Road trip,2
"Lots of potential here, but the front desk staff really misses the mark.",4
comfortable oasis in my room,4
Marvelous Hotel in Miami,5
"Updated, refreshing, quiet stay",5
Vacation in Washington,4
Beautiful hotel...nice rooms..great location,4
"Good value, great service, need some tweaks",4
"Great staff, underwhelming hotel facilities",4
Cool vibe at this sweet hotel,5
Great location - perfect Austin experience,4
"Well maintained motel with clean, spacious rooms....good wi-fi reception.",5
Amazing hotel and stay. Definitely going back.,5
Beautiful hotel,5
extremely pleased,5
Decent,4
Worst Ever-ROACHES,1
Excellent,5
Suprised,5
Location is great - service exceptional,5
Good hotel in terms of quality vs price,3
Super relaxing stay on beautiful grounds,5
Thanks to Jean at the Frontdesk,5
"Excellent stay marred by some service issues, but hotel has good",5
Excellent Deal,4
Very Good and convenient to attractions in city,4
Great place to stay with great staff!,5
Sea World Vacation,5
Convenient and Comfortable,5
Nice Hotel,3
Surprisingly Nice Hotel,4
Kid heaven! But it's Disneyland,3
Beyond my expectations!,5
Gracious Living in the Middle of Miami!,5
Amazing location!,5
Great location,4
Above beyond our expectations,5
Best in show!,5
Rooftop Bar is Awesome!,5
Very convenient for a flight layover,5
Outstanding!,5
Excellent Place Near the French Quarter!,5
Great hotel,5
hard to beat,5
Best Place to Stay,5
"Beautiful modern hotel, steps from Chinatown",5
NO NO NO,1
Great position,4
Modern hotel with amazing service,4
First Stay Wingate by Wyndham Atlanta Galleria Center,3
Fine for overnight. Not my favorite.,3
Great room and amenities but not ideal location for much of downtown,4
Great hotel for extended Disney stay,4
Almost perfect hotel and location,4
"I love this place,",4
Thank you for your Compassion!,5
Easily accessible via public transportation and fulfilling breakfasts!,4
Really Nice Place in Central Northern Cal,5
Hurricane was no match for this hotel,5
Extremely friendly staff. A big thanks to James,4
Don't Stay here!!,2
"Great, if you need to be in the area",4
"So close to excellent, but not quite",4
No quality in it,2
Not To Miss,4
Nice place to stay,4
Very nice hotel and staff,4
2nd stay was not the charm,1
Nice Room,4
Looking for a great place to stay and found it.,5
Great unique hotel,5
"Good,clean hotel in Eads",4
Awesome hotel and people,5
"Location, location, location!",4
"Great Location, Friendly Staff",5
An exceptional hotel,5
Wonderful Boutique Hotel,5
"Excellent Hotel, Resart Spa in La Jolla, CA",5
Very nice plus....,4
Value for money.,4
Wonderful Location,5
Stayed here for 4 nights on Business,5
Canton Trade Days traveler always stays in this hotel,5
"Great Location, Cozy Rooms, Choose a High Floor",4
started off rough but ended great,4
Value for money,3
Great Stay,5
Nice start to our vacation...,4
Last Leg of Our Journey,5
Good Location,4
Amazing,5
Good stay,4
Nice stay after a long day driving,5
"Great location, excellent staff, but the hotel needs urgent renovation",3
Great location - but really more like a hostel than a hotel,2
Wonderful Visit!,5
Nice Hotel but Don't Fall in the Bath tub,3
Hampton Inn - Carondelet Nawlin,4
Don't ever stay here!,1
Great Friendly Staff,3
Mold Alert!!!,1
"Clean, well run hotel in a great location",5
good place to stay,4
Great hotel in a good location,5
Amazing,5
Restful Time in Seattle,5
Excellent Stay,5
New York,3
Business Trip to Dallas TX,5
Clean but no gym,3
HAD A BALL,5
Atlanta Visit,4
Nice Place!,4
Five star experience overall!!,5
Looks are deceiving,2
"No hot water, bath tub malfunction",1
"Not bad, but not good either",3
Worst Business Hotel I've Stayed At,1
"The Ace delivers, as always",4
Home a way from home,5
"other travelers had same room, same problem a month before. We found out to late.",2
Caring owners make this a great place to stay,4
WORST EXPERIENCE EVER!!!,1
This is a great place to stay,5
Great location,4
Exceeded my high expectations,5
An okay hotel in a great location,3
What A Find!,5
Twelve summer stays and great memories of a great place!,5
Outdated and dirty,2
Relaxing,5
"Good value, convenient location",4
"Good value, not any better",3
"Basic, good location, nice pool",4
Absolutely Fantastic,5
Excellent Customer Service!,5
"Great location in a chic, but older hotel",3
Great place to stay,5
A Joyful Surprise,5
Comfy Beds,4
"Great location, great price!",4
I'd Stay Here Again,5
"excellent location, beautiful room, friendly staff",5
"Great staff, great location, upgrades not as promised",4
Nice reasonably priced hotel close to tons,4
Great location and very clean x Great location and ean convention centre great locati,5
Convenient to the Cobb Convention Center,4
Don't stay here.....Please!!!!,2
Nicely renovated Courtyard,4
Wonderful Place,5
Bacon!,5
Wonderful BB in lovely Corrales,5
Superb Service and Excellent stay!!!!,5
"Ugh, the bed!",3
"Dangerous, dark, and filthy",1
Family Reunion Fun!,5
Amazing,5
You get what you pay for,3
Classy and convenient lodging,5
Great service great value,5
horrible room,1
Excellent Experience at Great Value,5
Ok location,3
Great Wedding Venue,5
you get what you pay for,3
Contact High,1
Blue Jays weekend in Seatlle,5
Perfect location for tourists on foot,3
Used to be great,3
Exceeded all expectations,5
wonderful place to stay,5
Very comfy hotel and friendly staff,5
Close to seaworld but not the best place to stay.,2
Great value for money,3
Get what you pay for,3
Amazing!,5
Excellent hotel when staying in downtown San diego,5
Perfect from Check In to Check Out,5
After Thanksgiving break,5
Great location. Nice price for value.,4
Nice place with convenient location,4
Always a great stay,4
Just enough for a business traveller,4
Great Walking Distance to Old Town but a Terrible Hotel,1
Friendly staff.,5
The hotel needs total remodel. The furniture is shot...,3
5 star hotel,5
St James Hotel,5
Best hotel experience ever!,5
"3 Times , Tried and True",5
Lived up to expectations,5
Vacation,5
Decent Hotel Great Location,4
Weddingholidays,4
We'll Be Back!,5
On Fishermans Wharf and centrally located for restaurants and sightseeing,5
Good Location,4
Horrible,2
Universal Close By,3
IT WAS OK!!!!!!!!!!!,3
Very nice and reasonable,4
Pleasure: travel basketball: 3.5 Stars,3
Optimum Stay,4
"Upscale, modern hotel",3
LOCATION x 3 plus value!,5
ALOFT gets an A,4
Awesome!!!!,5
Great Place to Stay,5
Old,2
Always a great stay at a great location for Mardi Gras parades,5
Great place to stay on Seattle,5
Good hotel but not a good value for the money,4
Gloomy rooms,3
Short stay beach vacation,4
Close to Space Needle,3
Family visit,5
One night stay,3
Great night sleep,5
Vintage hotel,1
Good but with a glitch in the service,2
Great location,5
Good central hotel,4
San Diego Football Game,4
Excellent genuine customer service - 01/15/16,4
Awesome Hotel fabulous staff,5
Nice Hotel,4
Worked well as somewhat budget option while attending a nearby convention,4
"Horrible service! Dirty, grimy smelly! Avoid!",1
"The bed was comfortable, okay for a nights sleep",2
No parking spot as a guest,2
"Yes, stay at the Ramada Plaza Waikki",5
"Horrible breakfast, horrible customer service",1
Very nice updated hotel,5
"Great location, price and service",5
Relaxation,5
Knights Inn Stay-5/8/14,5
Nice bargain hotel close to attractions,4
Adequate Lodging in a Convenient Location,3
Great week in Vegas,5
"Hampton Inns are our hotel of choice. Affordable, clean, and comfortable.",5
Great stay with Wingate,5
Our stay,4
Old,2
Brickell's Best,5
Perfect Location Great Service--Zoo Package was added bonus!,4
Great location-Enjoyable stay,4
"My favorite place to stay in SF, South of Market..",5
Passing through headed to Orlando .,4
nice place to stay close to the beach and things to do,5
Felt right at home,5
"Wonderful Service, Awesome Staff",5
Good Hotel Right In The Mix,5
Hotel was a gem! Can't wait to stay again!,5
Wonderful,5
